mrp;price;product_category;rating;review_count;Nylon;Rayon;Spandex;polyester;Cotton;Modal;Elastane
21.41 ;21.41 ;Panties;4.3;429;0;0;0;0;95;0;5
20.00 ;15.00 ;Panties;4.7;532;0;0;0;0;53;35;12
60.00 ;60.00 ;Bras;4.2;158;81;0;19;0;0;0;0
44.00 ;44.00 ;Bras;4;29;88;0;12;0;0;0;0
60.00 ;60.00 ;Bras;4.2;158;81;0;19;0;0;0;0
68.00 ;68.00 ;Bras;3.7;62;58;0;42;0;0;0;0
60.00 ;60.00 ;Bras;4.2;158;81;0;19;0;0;0;0
55.00 ;55.00 ;Bras;4.3;605;0;0;15;85;0;0;0
33.00 ;33.00 ;Panties;4;95;72;0;0;0;0;0;28
60.00 ;39.99 ;Bras;4.5;773;100;0;0;0;0;0;0
60.00 ;60.00 ;Bras;4.2;158;81;0;19;0;0;0;0
72.00 ;49.99 ;Bras;3.8;105;72;0;28;0;0;0;0
44.00 ;44.00 ;Bras;4;29;88;0;12;0;0;0;0
65.00 ;62.00 ;Bras;4.4;841;91;0;9;0;0;0;0
65.00 ;65.00 ;Bras;4.4;1163;80;0;20;0;0;0;0
33.00 ;19.80 ;Panties;4.2;16;0;0;0;0;95;0;5
38.00 ;33.63 ;Bras;3.8;32;71;0;0;0;0;0;29.5
46.00 ;34.50 ;Bras;4.3;488;71;0;29;0;0;0;0
50.00 ;50.00 ;Bras;4.2;972;85;0;15;0;0;0;0
38.00 ;21.89 ;Bras;4.3;382;86;0;14;0;0;0;0
48.00 ;48.00 ;Bras;4.3;398;82;0;18;0;0;0;0
55.00 ;55.00 ;Bras;4.3;605;0;0;15;85;0;0;0
44.00 ;44.00 ;Bras;4.1;16;79;0;0;0;0;0;21.5
68.00 ;68.00 ;Bras;4.2;250;80;0;20;0;0;0;0
12.00 ;12.00 ;Panties;4.5;99;82;0;0;0;0;0;18
60.00 ;48.00 ;Bras;4.5;773;100;0;0;0;0;0;0
65.00 ;65.00 ;Bras;4.4;1163;80;0;20;0;0;0;0
33.00 ;33.00 ;Panties;4;15;72;0;0;0;0;0;28
65.00 ;65.00 ;Bras;4.4;1163;85;0;15;0;0;0;0
27.00 ;23.99 ;Panties;3.9;47;100;0;0;0;0;0;0
38.00 ;38.00 ;Bras;4.3;382;86;0;14;0;0;0;0
50.00 ;47.00 ;Bras;4.3;414;41;0;11;48;0;0;0
44.00 ;44.00 ;Bras;4;29;88;0;12;0;0;0;0
38.00 ;38.00 ;Bras;4.3;382;86;0;14;0;0;0;0
48.00 ;32.96 ;Bras;4.3;398;82;0;18;0;0;0;0
36.00 ;25.99 ;Bras;4.6;68;72;0;0;0;0;0;28
36.00 ;27.00 ;Bras;4.6;68;72;0;0;0;0;0;28
37.95 ;37.95 ;Bras;4.3;382;86;0;14;0;0;0;0
60.00 ;60.00 ;Bras;4.5;773;82;0;18;0;0;0;0
68.00 ;68.00 ;Bras;3.7;62;58;0;42;0;0;0;0
60.00 ;60.00 ;Bras;4.5;773;82;0;18;0;0;0;0
22.00 ;18.07 ;Panties;4.2;19;0;0;0;0;92;0;8
68.00 ;39.00 ;Bras;4.2;96;70;0;30;0;0;0;0
28.50 ;28.50 ;Bras;4.5;26;79;0;0;0;0;0;21
45.99 ;45.99 ;Bras;4.4;291;76;0;24;0;0;0;0
19.99 ;19.99 ;Panties;4.7;532;0;0;0;0;53;35;12
48.00 ;48.00 ;Bras;4.3;398;82;0;18;0;0;0;0
55.00 ;55.00 ;Bras;4.3;605;0;0;15;85;0;0;0
65.00 ;65.00 ;Bras;4.4;1163;80;0;20;0;0;0;0
39.00 ;39.00 ;Panties;4.1;60;88;0;0;0;0;0;12
33.00 ;22.99 ;Panties;4;95;75;0;0;0;0;0;25
44.00 ;44.00 ;Bras;4;29;88;0;12;0;0;0;0
65.00 ;65.00 ;Bras;4.4;314;0;0;0;100;0;0;0
65.00 ;65.00 ;Bras;4.4;841;91;0;9;0;0;0;0
36.00 ;32.05 ;Bras;4.6;68;72;0;0;0;0;0;28
44.00 ;44.00 ;Panties;4.6;105;0;0;0;0;53;35;12
60.00 ;49.95 ;Bras;4.5;773;100;0;0;0;0;0;0
36.48 ;36.48 ;Bras;3.8;32;71;0;0;0;0;0;29.5
50.00 ;50.00 ;Bras;4.2;972;85;0;15;0;0;0;0
48.00 ;48.00 ;Bras;4.3;398;82;0;18;0;0;0;0
65.00 ;44.93 ;Bras;4.2;114;0;0;10;90;0;0;0
68.00 ;68.00 ;Bras;4.2;250;80;0;20;0;0;0;0
60.00 ;48.00 ;Bras;4.4;772;82;0;18;0;0;0;0
22.00 ;17.48 ;Panties;4.2;19;0;0;0;0;92;0;8
38.00 ;30.56 ;Bras;4.3;382;86;0;14;0;0;0;0
36.00 ;36.00 ;Bras;4.6;68;72;0;0;0;0;0;28
38.00 ;38.00 ;Bras;4.3;382;86;0;14;0;0;0;0
60.00 ;39.99 ;Bras;4.5;773;100;0;0;0;0;0;0
68.00 ;38.08 ;Bras;4.2;96;70;0;30;0;0;0;0
68.00 ;68.00 ;Bras;4.2;250;80;0;20;0;0;0;0
60.00 ;60.00 ;Bras;4.4;772;100;0;0;0;0;0;0
55.00 ;55.00 ;Bras;4.3;605;0;0;15;85;0;0;0
20.00 ;17.18 ;Panties;4.7;532;0;0;0;0;53;35;12
48.00 ;48.00 ;Bras;4.3;398;82;0;18;0;0;0;0
26.98 ;26.98 ;Panties;3.9;47;100;0;0;0;0;0;0
68.00 ;68.00 ;Bras;4.2;250;80;0;20;0;0;0;0
18.00 ;18.00 ;Bras;4;518;89;0;11;0;0;0;0
39.00 ;39.00 ;Panties;4.1;60;88;0;0;0;0;0;12
66.23 ;66.23 ;Bras;3.7;62;58;0;42;0;0;0;0
34.00 ;34.00 ;Bras;4.4;122;95;0;5;0;0;0;0
38.00 ;28.50 ;Bras;3.8;32;71;0;0;0;0;0;29.5
38.00 ;23.26 ;Bras;4.5;26;79;0;0;0;0;0;21
50.00 ;50.00 ;Bras;4.1;483;0;0;0;100;0;0;0
